"location","latitude","longitude","sampled","pass_filters","region","location_color","region_color"
"COH1",40.653062,-104.99303,FALSE,FALSE,"Other","gray50","gray50"
"DEH1",38.6698,-75.4341,TRUE,TRUE,"Northeast","#222222","#1E88E5"
"GAH1",31.506548,-83.55493,TRUE,FALSE,"South","black","#004D40"
"GAH2",33.721111,-83.307778,TRUE,TRUE,"South","#F3C300","#004D40"
"GEH1",51.501631,9.937345,FALSE,FALSE,"Other","gray50","gray50"
"IAH1",41.1994375,-91.49519078,FALSE,FALSE,"West","gray50","#D81B60"
"IAH2",42.06453313,-94.72084876,TRUE,TRUE,"West","#875692","#D81B60"
"IAH3",41.97579183,-92.24135954,FALSE,FALSE,"West","gray50","#D81B60"
"IAH4",42.03217123,-93.79508048,TRUE,TRUE,"West","#F38400","#D81B60"
"ILH1",40.059138,-88.229125,FALSE,FALSE,"West","gray50","#D81B60"
"INH1",40.476661,-87.000529,TRUE,TRUE,"Central","#A1CAF1","#cd9a00"
"MIH1",42.707672,-84.471602,TRUE,TRUE,"Central","#BE0032","#cd9a00"
"MNH1",44.066148,-93.523748,TRUE,TRUE,"West","#C2B280","#D81B60"
"MOH1",38.89504,-92.20918,TRUE,TRUE,"West","#848482","#D81B60"
"NCH1",35.669668,-78.510089,TRUE,TRUE,"South","#008856","#004D40"
"NEH1",40.8604,-96.6159,TRUE,TRUE,"West","#E68FAC","#D81B60"
"NEH2",40.8604,-96.6159,TRUE,TRUE,"West","#0067A5","#D81B60"
"NYH1",42.7286833,-76.65245,FALSE,FALSE,"Northeast","gray50","#1E88E5"
"NYH2",42.7326631,-76.6520512,TRUE,TRUE,"Northeast","#F99379","#1E88E5"
"NYH3",42.732626,-76.6530185,TRUE,TRUE,"Northeast","#604E97","#1E88E5"
"OHH1",39.856629,-83.670359,TRUE,TRUE,"Central","#F6A600","#cd9a00"
"ONH2",42.452053,-81.882542,FALSE,FALSE,"Other","gray50","gray50"
"SCH1",34.622112,-82.737411,TRUE,TRUE,"South","#B3446C","#004D40"
"TXH1",30.546732,-96.434713,TRUE,FALSE,"South","black","#004D40"
"TXH2",30.546732,-96.434713,TRUE,FALSE,"South","black","#004D40"
"TXH3",30.546732,-96.434713,FALSE,FALSE,"South","gray50","#004D40"
"TXH4",43.07471,-89.384397,FALSE,FALSE,"South","gray50","#004D40"
"WIH1",43.057183,-89.530362,FALSE,FALSE,"Central","gray50","#cd9a00"
"WIH2",43.32034,-89.332787,FALSE,FALSE,"Central","gray50","#cd9a00"
