SampleID	location	pedigree	rep_number	plot_number	Batch	Month	day	year	Temperature [C]	Dew Point [C]	Relative Humidity [%]	Solar Radiation [W/m2]	Rainfall [mm]	Wind Speed [m/s]	Wind Direction [degrees]	Wind Gust [m/s]	Soil Temperature [C]	Soil Moisture [%VWC]	Grower	Date Recieved	Date Reported	E Depth	1:1 Soil pH	WDRF Buffer pH	1:1 S Salts mmho/cm	Texture No	Organic Matter LOI %	Nitrate-N ppm N	lbs N/A	Potassium ppm K	Sulfate-S ppm S	Calcium ppm Ca	Magnesium ppm Mg	Sodium ppm Na	CEC/Sum of Cations me/100g	%H Sat	%K Sat	%Ca Sat	%Mg Sat	%Na Sat	Mehlich P-III ppm P	% Sand	% Silt	% Clay	Texture
B11	NA	NA	NA	NA	3166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B12	NA	NA	NA	NA	3167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B14	NA	NA	NA	NA	3167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B15	NA	NA	NA	NA	3167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B18	NA	NA	NA	NA	3167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B19	NA	NA	NA	NA	3167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3	NA	NA	NA	NA	3165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4	NA	NA	NA	NA	3165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B5	NA	NA	NA	NA	3166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B6	NA	NA	NA	NA	3166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
