"","V1","V2"
"DEH1-1-106",0.0589064043087725,-0.0993675268085979
"DEH1-1-112",-0.205832676845857,0.202773183055796
"DEH1-1-116",-0.101270406962288,-0.0241334133120979
"DEH1-1-173",-0.040649105499099,-0.120937097619238
"DEH1-1-187",0.0300201120104052,-0.0470274605394835
"DEH1-1-190",-0.0321755180953376,0.149601331218198
"DEH1-1-302",-0.103824197659782,0.0612458702912939
"DEH1-1-304",-0.0832307975936504,-0.0562122769840286
"DEH1-1-31",-0.066167929508755,-0.0906917756964133
"DEH1-1-331",0.16641927084056,0.0159130046457876
"DEH1-1-345",-0.0551334030997926,0.191585916736436
"DEH1-1-363",0.0382810185742662,-0.0890889958439418
"DEH1-1-369",-0.0561764972819307,0.292039567909812
"DEH1-1-399",-0.155523706849594,0.0288764733958915
"DEH1-1-40",-0.0195393265326988,-0.126593044418235
"DEH1-1-414",0.0989559218136461,0.0593743215652019
"DEH1-1-422",0.101241073025667,0.173115245608638
"DEH1-1-439",-0.102624955279905,0.186400962994247
"DEH1-1-500",0.117633927007314,-0.137209084866776
"DEH1-1-6",0.138769865943968,0.171293155415806
"DEH1-1-75",-0.135353678469376,-0.0620360982082744
"DEH1-1-91",0.0645085359442792,-0.0584624234170069
"DEH1-2-505",-0.231569450490931,0.0487137725057021
"DEH1-2-514",-0.264262947414003,0.28961418145131
"DEH1-2-522",0.0246991465287414,0.0669880781061992
"DEH1-2-530",-0.102324674455269,-0.0147168675116021
"DEH1-2-580",0.00715037604269732,-0.00198103258233852
"DEH1-2-585",-0.0419741612940636,-0.20556978342368
"DEH1-2-610",0.0692869152165315,-0.162192119068707
"DEH1-2-614",0.0316177766539839,-0.0544630347962385
"DEH1-2-637",-0.166695398109153,-0.120282800669543
"DEH1-2-655",-0.030906820018181,0.147012127253943
"DEH1-2-689",0.0796646813590561,0.129272514288383
"DEH1-2-713",0.0385163028468533,0.192198428995945
"DEH1-2-719",0.134851193179857,0.0861836914086613
"DEH1-2-720",-0.251515239085271,0.159452945936246
"DEH1-2-751",-0.00211980681288468,-0.0110761207760794
"DEH1-2-756",-0.0507545743293599,0.23507952752
"DEH1-2-780",0.251372800456508,0.00498227531159824
"DEH1-2-791",-0.132506392536477,-0.00779219375771114
"DEH1-2-809",0.0543592334147752,0.120303650741507
"DEH1-2-827",-0.25979034096905,-0.00790216533831843
"DEH1-2-839",-0.206811624498071,-0.14349434502974
"DEH1-2-846",0.0585900429385861,-0.0236632706383231
"DEH1-2-860",-0.0943720431430997,0.0190766758787586
"DEH1-2-866",0.119278910238992,-0.150432141431613
"DEH1-2-900",-0.042471616303617,-0.0413438910727286
"DEH1-2-902",-0.282344402816467,0.0410896702569607
"DEH1-2-917",-0.184655056911325,-0.0115562566382038
"DEH1-2-923",-0.222199279196043,-0.073916134159902
"DEH1-2-937",0.0994998525592682,0.105879532842349
"DEH1-2-968",0.317953144325041,-0.015893060948465
"DEH1-2-985",0.0484011064171884,-0.0273275756487621
"DEH1-2-987",0.190503143285993,-0.0877410225575147
"GAH2-1-106",-0.255286952118704,-0.117850315562148
"GAH2-1-108",-0.307449891619046,0.123441135834789
"GAH2-1-132",-0.19955050632369,-0.193290162972866
"GAH2-1-135",-0.157995880846429,-0.193484589097262
"GAH2-1-170",-0.332886505170975,-0.0106475327509493
"GAH2-1-184",-0.163473120353812,-0.25642293385314
"GAH2-1-191",-0.222218186507468,-0.203349040805888
"GAH2-1-206",-0.125723511018983,-0.268514310296937
"GAH2-1-217",-0.275226070185529,-0.121374255408614
"GAH2-1-220",-0.242198446469466,-0.20277232429204
"GAH2-1-226",-0.193710264461898,0.022315011752422
"GAH2-1-242",-0.120327427283111,-0.209593957838841
"GAH2-1-245",-0.0504533476611277,-0.256337696603664
"GAH2-1-38",-0.141806825332781,0.00241829734873016
"GAH2-1-46",-0.156512213422713,-0.134849268960286
"GAH2-1-49",-0.207479677313241,-0.0266937995345117
"GAH2-1-50",-0.191936637570945,-0.219416690554959
"GAH2-1-52",-0.121692315714567,-0.116933050845099
"GAH2-1-6",-0.253767196951991,0.214135096102938
"GAH2-1-73",-0.257978559199456,0.137428738880097
"GAH2-1-83",-0.264655752292598,-0.105458451104918
"GAH2-1-86",-0.210688587426896,-0.193810395277819
"GAH2-1-98",-0.183367660518482,-0.0194544332065418
"GAH2-2-268",-0.0104113608272359,-0.225422152442054
"GAH2-2-282",-0.284043287223471,0.144269304807821
"GAH2-2-284",-0.112349641744638,-0.148045579430143
"GAH2-2-293",-0.159124862100226,-0.19389326729623
"GAH2-2-299",-0.25134435435755,-0.197935064013657
"GAH2-2-353",-0.297783369455209,-0.0900647583908553
"GAH2-2-360",-0.0406558112937647,-0.0703200676055451
"GAH2-2-376",-0.170233815008121,-0.222394343771909
"GAH2-2-379",-0.196227233938013,0.2173646733663
"GAH2-2-383",-0.209780383634241,-0.0208216391722198
"GAH2-2-386",-0.268771639156923,0.0245984058226979
"GAH2-2-398",-0.232935975379652,-0.110636962311593
"GAH2-2-410",-0.320518061126699,0.0115256886175081
"GAH2-2-412",-0.195388817981536,-0.173171229169324
"GAH2-2-433",-0.205318044685707,0.0125091737320481
"GAH2-2-437",-0.169252693614252,-0.102838622072949
"GAH2-2-441",-0.169462409224378,0.0772291706534428
"GAH2-2-458",-0.225840302599747,-0.175256468061942
"GAH2-2-461",-0.221550965948166,0.0145649545324626
"GAH2-2-472",-0.236903662787083,-0.116906886515156
"GAH2-2-487",-0.208601875797141,-0.176893535102372
"GAH2-2-494",-0.158906860209404,-0.0680353960620387
"IAH2-1-148",0.17689711243439,-0.056106332097521
"IAH2-1-160",0.219959672047032,0.0583630534172489
"IAH2-1-207",0.0466897642183715,0.113640903292769
"IAH2-1-230",0.250779433381825,-0.0279584740186821
"IAH2-1-238",0.290239862580873,-0.0998761015360248
"IAH2-1-27",0.0751958089519276,-0.101308312624212
"IAH2-1-321",0.202632836670026,0.0533461103076342
"IAH2-1-345",0.219358469249072,0.0949246633205294
"IAH2-1-349",0.0797893518883571,0.0676006429748508
"IAH2-1-378",0.130260734125124,-0.220879860206402
"IAH2-1-379",0.13280139666264,-0.0728329999795182
"IAH2-1-424",-0.250694857081465,-0.039811039875357
"IAH2-1-431",0.0845785669617379,-0.113441177505658
"IAH2-1-44",0.119328231680555,-0.0224972907065581
"IAH2-1-452",0.118766223875455,0.0165896169149787
"IAH2-1-5",0.206622310057044,-0.112219367827494
"IAH2-1-85",0.303607933337263,-0.0488686702479179
"IAH2-2-542",0.254613095452368,-0.0915293562117038
"IAH2-2-562",0.187359874311341,-0.00354569204134429
"IAH2-2-570",-0.00190341419209573,0.00791526713588117
"IAH2-2-605",0.201877250710614,-0.0301549940742805
"IAH2-2-625",0.228543260005244,0.0504355015342252
"IAH2-2-633",-0.0258689926536961,-0.10803496222382
"IAH2-2-638",0.193978375321983,-0.0261268539485561
"IAH2-2-640",0.141352036424388,-0.115896462234628
"IAH2-2-693",0.191890840505173,0.000366040044504106
"IAH2-2-710",0.0728041444407497,0.111595926816591
"IAH2-2-739",-0.0929298936583972,0.0228270509337968
"IAH2-2-742",0.154330013019846,-0.0462892947290019
"IAH2-2-777",0.263236753571929,0.0165089184142944
"IAH2-2-788",0.168286048321252,0.0528102833737492
"IAH2-2-804",0.100108608793842,-0.163162403628995
"IAH2-2-843",0.042896766397712,0.0224158553976595
"IAH2-2-871",0.239837258893084,-0.0660108489668109
"IAH2-2-907",0.0453691702215417,-0.159528824502639
"IAH2-2-921",0.0628865666016031,-0.0333546643973084
"IAH4-1-125",-0.00211438521931167,-0.234566498393094
"IAH4-1-176",-0.152457720958767,-0.0178342186391523
