"category","test_var","Type","Df","SumOfSqs","F","Pr(>F)","heritability"
"Beta Diversity","Environment","bray",9,4.71192137428871,1.04783707367019,0.001,0.0292838259999831
"Beta Diversity","Maize Genotype","bray",18,8.96839774943519,0.997196144290188,0.83,0.0557371353066657
"Beta Diversity","GXE","bray",80,39.8012026176136,0.995736535319444,1,0.247358009495694
"Beta Diversity","Environment","jaccard",9,4.66582899335339,1.03722789902607,0.001,0.028989740499059
"Beta Diversity","Maize Genotype","jaccard",18,8.97676971623244,0.99778153100685,0.904,0.0557744882986713
"Beta Diversity","GXE","jaccard",80,39.8440697145963,0.996463937593721,1,0.247559274696521
"Beta Diversity","Environment","weighted",9,4.34551869581246,10.9059742011461,0.001,0.228797687036935
"Beta Diversity","Maize Genotype","weighted",18,1.03068720626616,1.29336091590425,0.009,0.0542671348024585
"Beta Diversity","GXE","weighted",80,4.09803707560513,1.1570476614927,0.005,0.215767430754261
"Beta Diversity","Environment","unweighted",9,11.3071844095672,5.13575168592235,0.001,0.125270416580285
"Beta Diversity","Maize Genotype","unweighted",18,5.01434548860502,1.13876418585297,0.005,0.0555531001779307
"Beta Diversity","GXE","unweighted",80,21.3454421879125,1.09070479063643,0.001,0.236482605935719
