"pathway","term","SS","pval","herit","fdr"
"1CMET2-PWY","Environment",0.0584483560127035,2.54349020205416e-06,0.10493020242564,2.99608184094909e-05
"1CMET2-PWY","Maize Genotype",0.0325290902610526,0.11865361630765,0.0583982896811043,0.234092479464107
"1CMET2-PWY","GXE",0.194686260801414,9.84001116173803e-05,0.349513145432924,0.000723105407390107
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","Environment",0.0119262997386138,0.306122774227412,0.0327470574744594,0.451573374136569
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","Maize Genotype",0.0176530162869049,0.607432711822783,0.0484713910948571,0.713498485510035
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","GXE",0.0940935407250297,0.382374159861942,0.25836065281184,0.521774620186398
"ANAEROFRUCAT-PWY","Environment",0.0241103041219502,0.32602781910386,0.0242593362822399,0.472809789123683
"ANAEROFRUCAT-PWY","Maize Genotype",0.035241676381698,0.647394619734576,0.0354595144950967,0.74292706362091
"ANAEROFRUCAT-PWY","GXE",0.435528765703785,5.46585363204105e-07,0.438220884081587,8.26065803634883e-06
"ANAGLYCOLYSIS-PWY","Environment",25.1053635536725,0.0268237793572792,0.0588339871559019,0.0737793409518503
"ANAGLYCOLYSIS-PWY","Maize Genotype",24.3088520609452,0.416166163612173,0.0569673761891872,0.542913838849104
"ANAGLYCOLYSIS-PWY","GXE",98.1571918908081,0.608388845946759,0.23002968885979,0.713498485510035
"ARG+POLYAMINE-SYN","Environment",0.0167793322816415,0.00364690407188321,0.0641868943120564,0.0158061523127725
"ARG+POLYAMINE-SYN","Maize Genotype",0.0130398230006736,0.354550474654104,0.0498819456426117,0.498236719645504
"ARG+POLYAMINE-SYN","GXE",0.0898958007235464,0.00130615630121026,0.343883306158323,0.00682100525683672
"ARGORNPROST-PWY","Environment",0.0344783843581276,0.141378629450507,0.0389296231621553,0.269629243309182
"ARGORNPROST-PWY","Maize Genotype",0.0593096773699487,0.18363183462577,0.0669666932736317,0.328323882891165
"ARGORNPROST-PWY","GXE",0.250851274623208,0.108753084267997,0.283236751739667,0.218593454609211
"ARGSYN-PWY","Environment",0.474790330381223,0.224209086834506,0.0346266420562416,0.376502051476813
"ARGSYN-PWY","Maize Genotype",0.682073032037371,0.515403789800957,0.0497438494958605,0.626461966055488
"ARGSYN-PWY","GXE",4.007412270047,0.0976575646946728,0.292262123652121,0.202652096685059
"ARGSYNBSUB-PWY","Environment",14.1954358854672,0.00385984301981289,0.0713782159260532,0.0161870903605766
"ARGSYNBSUB-PWY","Maize Genotype",10.2791832009372,0.441285304751794,0.0516863141068531,0.562849568640425
"ARGSYNBSUB-PWY","GXE",53.7220807956945,0.156876045424156,0.270128111173935,0.289552325007347
"ARO-PWY","Environment",8.33879897688919,0.09926600568124,0.045498943020507,0.205017596766616
"ARO-PWY","Maize Genotype",9.60550431888223,0.509415486805023,0.0524104604151394,0.621755874678274
"ARO-PWY","GXE",45.5949555951496,0.439149066960706,0.248779505585367,0.561018186021572
"ASPASN-PWY","Environment",0.06355818313964,7.91450944894473e-11,0.188015890642198,3.5219567047804e-09
"ASPASN-PWY","Maize Genotype",0.0275076768562141,0.0229368375527238,0.0813723758002337,0.0663263786271904
"ASPASN-PWY","GXE",0.0679118839198479,0.447848406175551,0.200894876310841,0.570312517244223
