"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","2369/LH123HT",0.318,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B14A/H95",0.25,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B14A/MO17",0.533,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B14A/OH43",0.211,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B37/H95",0.2,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B37/MO17",0.3,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B37/OH43",0.2,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B73/MO17",0.308,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B73/PHM49",0.545,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","B73/PHN82",0.6,TRUE,"d__Archaea; p__Crenarchaeota"
"Phylum","CG119/CG108",0.37,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","CG44/CGR01",0.318,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","F42/H95",0.5,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","F42/MO17",0.167,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","F42/OH43",0.4,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","LH74/PHN82",0.5,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","PHG39/PHN82",0.538,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","PHW52/PHM49",0.471,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","PHW52/PHN82",0.364,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","2369/LH123HT",0.682,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B14A/H95",0.812,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B14A/MO17",0.867,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B14A/OH43",0.684,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B37/H95",0.836,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B37/MO17",0.767,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B37/OH43",0.675,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B73/MO17",0.769,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B73/PHM49",0.727,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","CG119/CG108",0.815,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","CG44/CGR01",0.545,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","F42/H95",0.667,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","F42/MO17",0.5,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","F42/OH43",0.8,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","LH74/PHN82",0.857,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","PHG39/PHN82",0.769,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Acidobacteriota"
