"taxon_level","location","prevalence","is_core","taxon_name"
"Phylum","DEH1",0.222,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","GAH2",0.022,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","IAH2",0.667,TRUE,"d__Archaea; p__Crenarchaeota"
"Phylum","IAH4",0.367,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","INH1",0.091,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","MIH1",0,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","MNH1",0.354,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","MOH1",0.107,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","NCH1",0.667,TRUE,"d__Archaea; p__Crenarchaeota"
"Phylum","NEH1",0.344,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","NEH2",0.438,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","NYH2",0.267,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","NYH3",0.25,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","OHH1",0.222,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","SCH1",0.395,FALSE,"d__Archaea; p__Crenarchaeota"
"Phylum","DEH1",0.741,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","GAH2",0.333,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","IAH2",0.972,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","IAH4",0.767,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","INH1",0.682,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","MIH1",0.538,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","MNH1",0.892,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","MOH1",0.464,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","NCH1",0.958,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","NEH1",1,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","NEH2",1,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","NYH2",0.8,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","NYH3",0.583,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","OHH1",0.778,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","SCH1",0.5,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","DEH1",0.889,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","GAH2",0.978,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","IAH2",0.972,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","IAH4",0.967,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","INH1",0.909,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","MIH1",1,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","MNH1",1,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","MOH1",0.821,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","NCH1",0.979,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","NEH1",0.938,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","NEH2",1,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","NYH2",0.933,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","NYH3",0.917,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","OHH1",0.833,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","SCH1",0.789,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","DEH1",0.37,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","GAH2",0.711,TRUE,"d__Bacteria; p__Armatimonadota"
"Phylum","IAH2",0.306,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","IAH4",0.417,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","INH1",0.045,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","MIH1",0.308,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","MNH1",0.723,TRUE,"d__Bacteria; p__Armatimonadota"
"Phylum","MOH1",0.357,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","NCH1",0.458,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","NEH1",0.219,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","NEH2",0.125,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","NYH2",0.2,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","NYH3",0.167,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","OHH1",0.111,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","SCH1",0.263,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","DEH1",0.981,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","GAH2",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","IAH2",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","IAH4",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","INH1",0.864,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","MIH1",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","MNH1",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","MOH1",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","NCH1",0.729,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","NEH1",0.906,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","NEH2",0.938,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","NYH2",0.933,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","NYH3",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","OHH1",0.944,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","SCH1",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","DEH1",0.815,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","GAH2",0.222,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","IAH2",0.917,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","IAH4",0.683,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","INH1",0.773,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","MIH1",0.308,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","MNH1",0.769,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","MOH1",0.464,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","NCH1",0.938,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","NEH1",1,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","NEH2",0.938,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","NYH2",0.6,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","NYH3",0.833,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","OHH1",0.722,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","SCH1",0.5,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","DEH1",0.407,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","GAH2",0.444,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","IAH2",0.611,TRUE,"d__Bacteria; p__Deinococcota"
"Phylum","IAH4",0.783,TRUE,"d__Bacteria; p__Deinococcota"
"Phylum","INH1",0.091,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","MIH1",0.154,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","MNH1",0.923,TRUE,"d__Bacteria; p__Deinococcota"
"Phylum","MOH1",0.536,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","NCH1",0.146,FALSE,"d__Bacteria; p__Deinococcota"
