"Pedigree","Initial","Rarefied","GxE_Subset"
"2369/LH123HT",25,22,19
"B14A/H95",18,16,12
"B14A/MO17",19,15,9
"B14A/OH43",20,19,14
"B37/H95",63,55,51
"B37/MO17",34,30,26
"B37/OH43",44,40,35
"B73/MO17",15,13,11
"B73/PHM49",14,11,9
"B73/PHN82",15,10,8
"B73/TX779",5,4,0
"CG119/CG108",28,27,18
"CG44/CGR01",23,22,16
"CGR01/CG44",9,7,0
"F42/H95",14,12,10
"F42/MO17",16,12,10
"F42/OH43",46,40,36
"H95/B14A",8,7,0
"LH132/TX779",3,1,0
"LH74/PHN82",16,14,10
"MO44_PHW65_0029/PHT69",1,1,0
"MO44_PHW65_0155/LH195",1,1,0
"MO44_PHW65_0185/LH195",1,1,0
"MO44_PHW65_0214/PHT69",1,1,0
"MO44_PHW65_0225/PHT69",1,1,0
"MO44_PHW65_0237/PHT69",1,1,0
"MO44_PHW65_0260/PHT69",2,2,0
"MO44_PHW65_0321/PHT69",1,1,0
"MO44_PHW65_0363/PHT69",1,0,0
"MO44_PHW65_0397/PHT69",1,1,0
"MO44_PHW65_0464/PHT69",1,1,0
"MO44/PHT69",1,1,0
"PHG39/PHN82",14,13,10
"PHN11_PHW65_0015/LH195",1,1,0
"PHN11_PHW65_0021/PHT69",1,1,0
"PHN11_PHW65_0027/LH195",1,1,0
"PHN11_PHW65_0049/PHT69",1,1,0
"PHN11_PHW65_0087/LH195",1,0,0
"PHN11_PHW65_0092/PHT69",1,1,0
"PHN11_PHW65_0143/LH195",1,1,0
"PHN11_PHW65_0144/PHT69",1,1,0
"PHN11_PHW65_0267/LH195",1,1,0
"PHN11_PHW65_0285/PHT69",1,1,0
"PHN11_PHW65_0291/PHT69",1,1,0
"PHN11_PHW65_0294/LH195",1,0,0
"PHN11_PHW65_0300/PHT69",1,1,0
"PHN11_PHW65_0301/LH195",1,1,0
"PHN11_PHW65_0319/LH195",1,0,0
"PHN11_PHW65_0345/PHT69",1,1,0
"PHN11_PHW65_0369/PHT69",1,1,0
"PHN11_PHW65_0386/LH195",1,1,0
"PHN11_PHW65_0407/LH195",1,1,0
"PHN11_PHW65_0421/PHT69",1,0,0
"PHN11_PHW65_0423/PHT69",1,1,0
"PHN11_PHW65_0443/PHT69",1,1,0
"PHN11_PHW65_0448/PHT69",1,0,0
"PHN11_PHW65_0451/PHT69",1,0,0
"PHN11_PHW65_0514/LH195",1,0,0
"PHN11_PHW65_0514/PHT69",1,1,0
"PHN11_PHW65_0541/LH195",1,1,0
"PHN11_PHW65_0548/LH195",1,0,0
"PHN11_PHW65_0577/LH195",1,1,0
"PHN11_PHW65_0591/PHT69",1,1,0
"PHN11_PHW65_0614/PHT69",1,1,0
"PHW52/PHM49",24,17,12
"PHW52/PHN82",15,11,7
"PHW65_MOG_0018/PHT69",1,1,0
"PHW65_MOG_0024/PHT69",1,0,0
"PHW65_MOG_0025/PHT69",1,1,0
"PHW65_MOG_0056/LH195",1,1,0
"PHW65_MOG_0062/LH195",1,1,0
"PHW65_MOG_0068/LH195",1,1,0
"PHW65_MOG_0111/PHT69",1,1,0
"PHW65_MOG_0163/LH195",1,1,0
"PHW65_MOG_0176/LH195",1,1,0
"PHW65_MOG_0192/LH195",1,1,0
"PHW65_MOG_0196/LH195",1,1,0
"PHW65_MOG_0209/LH195",1,0,0
"PHW65_MOG_0213/PHT69",1,1,0
"PHW65_MOG_0221/PHT69",1,1,0
"PHW65_MOG_0291/PHT69",1,1,0
"PHW65_MOG_0294/PHT69",2,2,0
"PHW65_MOG_0296/PHT69",1,1,0
"PHW65_MOG_0308/LH195",1,0,0
"PHW65_MOG_0377/LH195",1,1,0
"PHW65_MOG_0421/PHT69",1,1,0
"PHW65_MOG_0423/PHT69",2,1,0
"PHW65_MOG_0424/PHT69",2,2,0
"PHW65_MOG_0476/LH195",1,1,0
"PHW65_MOG_0487/LH195",1,0,0
"PHW65_MOG_0553/LH195",1,1,0
"PHW65_MOG_0567/LH195",1,1,0
"PHW65_MOG_0583/PHT69",1,1,0
"PHW65_MOG_0620/LH195",1,0,0
"PHW65_MOG_0629/PHT69",1,1,0
"PHW65_MOG_0696/PHT69",1,0,0
"PHW65/LH195",1,0,0
"TX110/87916",2,2,0
"TX714/TX779",4,4,0
"TX777/LH195",2,2,0
"TX779/LH195",2,1,0
"Unknown1",1,1,0
"Unknown10",1,1,0
"Unknown11",1,1,0
"Unknown12",1,1,0
"Unknown14",1,1,0
"Unknown15",1,0,0
"Unknown16",1,1,0
"Unknown17",1,1,0
"Unknown2",1,1,0
"Unknown3",1,1,0
"Unknown4",1,1,0
"Unknown5",1,1,0
"Unknown6",1,1,0
"Unknown7",1,0,0
"Unknown8",1,1,0
"Unknown9",1,1,0
