"category","alpha_diversity","test_var","Value","p","term","Df","Sum Sq","Mean Sq","F value"
"Alpha Diversity","Observed","Environment",0.220051128579057,4.24800340043397e-13,"location",9,17261.106907105,1917.90076745612,10.2618770984483
"Alpha Diversity","Observed","Maize Genotype",0.0245751394014072,0.916336955221316,"Corrected_pedigree",18,1927.70703428726,107.094835238181,0.573019238399118
"Alpha Diversity","Observed","GXE",0.25025887490529,0.0641091716102511,"location:Corrected_pedigree",80,19630.6432149931,245.383040187414,1.31294102550822
"Alpha Diversity","Observed","Residuals",0.505114857114246,NA,"Residuals",212,39621.8897186147,186.895706219881,NA
"Alpha Diversity","Simpson","Environment",0.2371579480891,7.61481937266657e-15,"location",9,0.0325411494197075,0.00361568326885639,11.7012273617916
"Alpha Diversity","Simpson","Maize Genotype",0.0191288046128843,0.967481060281489,"Corrected_pedigree",18,0.00262472033572493,0.000145817796429163,0.471901729919156
"Alpha Diversity","Simpson","GXE",0.273050264517715,0.0100659615476703,"location:Corrected_pedigree",80,0.037466041211587,0.000468325515144838,1.51561487125812
"Alpha Diversity","Simpson","Residuals",0.470662982780301,NA,"Residuals",209,0.0645810716966773,0.000309000343046303,NA
"Alpha Diversity","Shannon","Environment",0.237970414123486,4.57879230902399e-15,"location",9,15.5943588980205,1.7327065442245,11.8164881563099
"Alpha Diversity","Shannon","Maize Genotype",0.02298181525911,0.917998454717856,"Corrected_pedigree",18,1.5060135798755,0.0836674211041947,0.570584265317237
"Alpha Diversity","Shannon","GXE",0.257953158864827,0.0202474516866229,"location:Corrected_pedigree",80,16.9038413999181,0.211298017498976,1.44098291170585
"Alpha Diversity","Shannon","Residuals",0.481094611752577,NA,"Residuals",215,31.5264486436556,0.146634644854212,NA
"Alpha Diversity","Simpson.reflect_log","Environment",0.240768211469743,2.68382699223711e-15,"location",9,16.2815310928204,1.80905901031338,12.006438669449
"Alpha Diversity","Simpson.reflect_log","Maize Genotype",0.0261596123124113,0.854808913181424,"Corrected_pedigree",18,1.76899823544264,0.0982776797468131,0.65225342442061
"Alpha Diversity","Simpson.reflect_log","GXE",0.254022125646844,0.023523688670232,"location:Corrected_pedigree",80,17.1778039623108,0.214722549528886,1.42507961717606
"Alpha Diversity","Simpson.reflect_log","Residuals",0.479050050571002,NA,"Residuals",215,32.3949255833101,0.150674072480512,NA
"Alpha Diversity","Observed.log","Environment",0.219224020767388,1.31136188883189e-13,"location",9,12.8078152256121,1.42309058062356,10.6415883872699
"Alpha Diversity","Observed.log","Maize Genotype",0.0250567038424153,0.89136905245128,"Corrected_pedigree",18,1.46389812509214,0.0813276736162298,0.608152171690239
"Alpha Diversity","Observed.log","GXE",0.263591776815598,0.0205401418068736,"location:Corrected_pedigree",80,15.3999309045935,0.192499136307419,1.43947026379087
"Alpha Diversity","Observed.log","Residuals",0.492127498574598,NA,"Residuals",215,28.7517674711118,0.133729151028427,NA
