"SampleID"	"location"	"pedigree"	"rep_number"	"plot_number"	"Corrected_pedigree"	"Sub"	"Grower"	"Day.before.extract"	"Date.Received"	"Date.Reported"	"E.Depth"	"X1.1.Soil.pH"	"WDRF.Buffer.pH"	"X1.1.S.Salts.mmho.cm"	"Texture.No"	"Organic.Matter.LOI.."	"Nitrate.N.ppm.N"	"lbs.N.A"	"Potassium.ppm.K"	"Sulfate.S.ppm.S"	"Calcium.ppm.Ca"	"Magnesium.ppm.Mg"	"Sodium.ppm.Na"	"CEC.Sum.of.Cations.me.100g"	"X.H.Sat"	"X.K.Sat"	"X.Ca.Sat"	"X.Mg.Sat"	"X.Na.Sat"	"Mehlich.P.III.ppm.P"	"X..Sand"	"X..Silt"	"X..Clay"	"Texture"	"Temperature..C..x"	"Dew.Point..C..x"	"Relative.Humidity.....x"	"Wind.Speed..m.s..x"	"Wind.Direction..degrees..x"	"Wind.Gust..m.s..x"	"Soil.Temperature..C..x"	"Soil.Moisture...VWC..x"	"Solar.Radiation..W.m2..x"	"Rainfall..mm..x"	"Temperature..C..y"	"Dew.Point..C..y"	"Relative.Humidity.....y"	"Wind.Speed..m.s..y"	"Wind.Direction..degrees..y"	"Wind.Gust..m.s..y"	"Soil.Temperature..C..y"	"Soil.Moisture...VWC..y"	"Solar.Radiation..W.m2..y"	"Rainfall..mm..y"
"B11"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B12"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B14"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B15"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B18"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B19"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B4"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B5"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B6"	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
