location	Temperature..C.	Dew.Point..C.	Relative.Humidity....	Wind.Speed..m.s.	Wind.Direction..degrees.	Wind.Gust..m.s.	Soil.Temperature..C.	Soil.Moisture...VWC.	Solar.Radiation..W.m2.	Rainfall..mm.
DEH1	22.4412820512821	13.9510743801653	68.647735042735	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	634072.028192	60.08
GAH1	21.4453741245853	14.1706597862145	68.5479911537044	0.444448949502396	202.399321266968	6.47429218573046	22.7882049391817	4.17273751408186	693068	133.1
GAH2	29.1110497237569	0.634666666666667	59.9098623853211	0.696626229508197	189.831036983321	2.03980309305374	4.74942575603126	7.52394540942928	963132	15.24
IAH2	18.5481710213777	12.1190709949855	70.4619424650303	1.07373083024855	181.184659090909	2.77080496173133	17.5681446291898	44.3144562334218	898841	314.96
IAH4	22.6836805555556	16.4418970959596	71.1253787878788	1.07269826224329	201.9	2.64978444444444	22.4296022727273	35.6515467171717	611220	220.218
INH1	23.6694793799357	16.5535049736688	68.0335185726821	0.849411594202899	203.598619896492	2.30344453364817	26.147658003544	27.5666666666667	900640	158.234
MIH1	21.1653815044486	11.7902857142857	66.0861181548422	0.186107400480898	194.750556792873	9.61333333333333	21.4107729994556	24.9593358737071	1059612	12.6
MNH1	21.8206813104989	16.0932948622487	71.1672487346349	1.46740043446778	173.292204150308	2.78451151707705	23.1613600333751	31.0918349035442	607884	187.956
MOH1	23.4731317829457	17.1643720930233	70.4814321140732	1.51076612903226	185.896551724138	3.22143176689399	23.7790697674419	38.537488372093	835852	242.824
NCH1	23.727733257012	17.8116428162564	73.131363115693	2.30799313893654	146.134405514072	8.47308943089431	NA	NA	0	5.32
NEH1	21.9565754633716	15.9369836716681	72.1313415710503	3.79256947507719	174.530866948964	10.2245701357466	NA	NA	0	338.32
NEH2	21.7963203463203	15.5780832130832	71.1313059163059	3.94584879145587	172.799659960329	10.4735483870968	NA	13.265652173913	0	332.73
NYH2	20.4457313930575	13.725687433682	68.743838108231	1.00912527154236	212.61368547419	2.51397766446333	20.8783779477374	12.1656354648381	1606585	391.136
NYH3	20.5772845436564	13.5884600169539	67.7483300367335	1.06910075839653	210.963706233988	2.67691311878291	21.0164427345368	13.7403316553154	859952	171.946
OHH1	22.9745413244802	17.5376376026559	74.6888432640224	1.07915428970819	194.190005251182	2.3676568233444	24.5796924152394	6.51728718755462	1558817	8.53
SCH1	23.7485812581914	16.0705111402359	66.9199868938401	0.354315203145478	234.346695557963	4.10583224115334	24.7315727391874	NA	969694	155.448
TXH1	21.5889401197605	16.2837335329341	75.3310778443114	0.016074850299401	148.677419354839	0.345586011976048	22.7062824734724	NA	698362	321.31
TXH2	21.4833592814371	16.1435988023952	74.8461377245509	0.543044910179641	158.914072229141	6.48947222131737	26.9057330415755	8.93621444201313	685752	315.214
