"location","latitude","longitude","sampled","region","location_color","region_color"
"COH1",40.653062,-104.99303,FALSE,"Other","gray50","gray50"
"DEH1",38.6698,-75.4341,TRUE,"Northeast","#F3C300","#1E88E5"
"GAH1",31.506548,-83.55493,FALSE,"South","gray50","#004D40"
"GAH2",33.721111,-83.307778,TRUE,"South","#875692","#004D40"
"GEH1",51.501631,9.937345,FALSE,"Other","gray50","gray50"
"IAH1",41.1994375,-91.49519078,FALSE,"Midwest (West)","gray50","#D81B60"
"IAH2",42.06453313,-94.72084876,TRUE,"Midwest (West)","#F38400","#D81B60"
"IAH3",41.97579183,-92.24135954,FALSE,"Midwest (West)","gray50","#D81B60"
"IAH4",42.03217123,-93.79508048,TRUE,"Midwest (West)","#A1CAF1","#D81B60"
"ILH1",40.059138,-88.229125,FALSE,"Midwest (West)","gray50","#D81B60"
"INH1",40.476661,-87.000529,TRUE,"Midwest (East)","#BE0032","#FFC107"
"MIH1",42.707672,-84.471602,TRUE,"Midwest (East)","#C2B280","#FFC107"
"MNH1",44.066148,-93.523748,TRUE,"Midwest (West)","#848482","#D81B60"
"MOH1",38.89504,-92.20918,TRUE,"Midwest (West)","#008856","#D81B60"
"NCH1",35.669668,-78.510089,TRUE,"South","#E68FAC","#004D40"
"NEH1",40.8604,-96.6159,TRUE,"Midwest (West)","#0067A5","#D81B60"
"NEH2",40.8604,-96.6159,TRUE,"Midwest (West)","#F99379","#D81B60"
"NYH1",42.7286833,-76.65245,FALSE,"Northeast","gray50","#1E88E5"
"NYH2",42.7326631,-76.6520512,FALSE,"Northeast","gray50","#1E88E5"
"NYH3",42.732626,-76.6530185,TRUE,"Northeast","#604E97","#1E88E5"
"OHH1",39.856629,-83.670359,TRUE,"Midwest (East)","#F6A600","#FFC107"
"ONH2",42.452053,-81.882542,FALSE,"Other","gray50","gray50"
"SCH1",34.622112,-82.737411,TRUE,"South","#B3446C","#004D40"
"TXH1",30.546732,-96.434713,FALSE,"South","gray50","#004D40"
"TXH2",30.546732,-96.434713,FALSE,"South","gray50","#004D40"
"TXH3",30.546732,-96.434713,FALSE,"South","gray50","#004D40"
"TXH4",43.07471,-89.384397,FALSE,"South","gray50","#004D40"
"WIH1",43.057183,-89.530362,FALSE,"Midwest (East)","gray50","#FFC107"
"WIH2",43.32034,-89.332787,FALSE,"Midwest (East)","gray50","#FFC107"
