"","V1","V2"
"DEH1-1-106",0.00815435875134562,-0.000971792534472342
"DEH1-1-112",0.00281175584018027,-0.000938468344870604
"DEH1-1-116",0.00242008619968259,-0.0015011753073625
"DEH1-1-173",0.0103580838662465,-0.00274923812631119
"DEH1-1-187",0.00835693103951333,-0.00120400037227239
"DEH1-1-190",-0.136371115454664,-0.00368158054098175
"DEH1-1-302",0.00743672352404745,-0.000862820168913113
"DEH1-1-304",0.00141255602199889,-0.000578034962601681
"DEH1-1-31",0.00272009469902524,-0.00102300988493422
"DEH1-1-331",0.00388248279306902,-0.00110260608316478
"DEH1-1-345",0.00710532560822037,-0.000595708162365409
"DEH1-1-363",0.00485123069994324,-0.00154412906267738
"DEH1-1-369",0.00718212359319731,-0.000581983836326347
"DEH1-1-399",0.00774894018233383,-0.000698516727579032
"DEH1-1-40",0.00932441500517087,-0.00120529241194927
"DEH1-1-414",0.0071821235931977,-0.000581983836324473
"DEH1-1-422",0.00824945103120132,-0.00069152015378281
"DEH1-1-439",0.00797688387991879,-0.000686621824224924
"DEH1-1-500",-0.000434328339972776,-0.00151124680397681
"DEH1-1-6",0.00788135167161192,-0.000614646870284786
"DEH1-1-75",0.00725389831364933,-0.00211407960138277
"DEH1-1-91",0.00796512440618371,-0.00069936954565948
"DEH1-2-505",0.00795481310625409,-0.000652792200965923
"DEH1-2-514",0.00985294446077863,-0.000999496472334688
"DEH1-2-522",0.00775851025223924,-0.000630945564086665
"DEH1-2-530",-0.00393018414890268,-0.000744607054450082
"DEH1-2-580",0.0149221289013761,-0.00202520912499409
"DEH1-2-585",0.00529781891941418,-0.000732182787204641
"DEH1-2-610",0.00710022106334699,-0.0006061685433934
"DEH1-2-614",0.00875831077192818,-0.00105945201541066
"DEH1-2-637",0.00770123910248979,-0.000660759299992095
"DEH1-2-655",0.00800091085049028,-0.000687943326958359
"DEH1-2-689",-0.0150048940307883,-0.00105285129381313
"DEH1-2-713",-0.183037090515868,-0.00173377706906979
"DEH1-2-719",0.00740810867687428,-0.000601063285988801
"DEH1-2-720",0.00424644170108106,-0.00517282542983213
"DEH1-2-751",-0.0717673060078349,-0.00341790978389295
"DEH1-2-756",0.00711544278414878,-0.00062683046659082
"DEH1-2-780",0.00718212359319742,-0.000581983836326481
"DEH1-2-791",-0.0843857011558926,-0.00108561237701151
"DEH1-2-809",0.00718212359319742,-0.000581983836326857
"DEH1-2-827",-0.00868259860249935,-0.000821038702809455
"DEH1-2-839",0.00833692355562895,-0.00160706009880924
"DEH1-2-846",0.00718212359319743,-0.000581983836326811
"DEH1-2-860",0.00684926395614904,-0.000829515939211399
"DEH1-2-866",0.00147274869480246,-0.00163315822297185
"DEH1-2-900",-0.0197887679867428,-0.00231142204458229
"DEH1-2-902",0.00424579399495005,-0.000633842078243791
"DEH1-2-917",0.010765311727023,-0.00169631869466966
"DEH1-2-923",0.0193095601232106,-0.00777775160603871
"DEH1-2-937",-0.00577476296109082,-0.000898855357914061
"DEH1-2-968",0.0075741918027359,-0.000638948834152663
"DEH1-2-985",0.0128759074631203,-0.00115882108956015
"DEH1-2-987",0.00639975562418138,-0.000662578695093069
"GAH2-1-106",-0.0180372730259341,-0.00247508793608005
"GAH2-1-108",-0.0122138140625084,-0.00128295961155413
"GAH2-1-132",-0.00186284529726384,-0.00206861438897396
"GAH2-1-135",0.0085401274245841,-0.000869387919860942
"GAH2-1-170",-0.0823284475268777,0.00169003831061244
"GAH2-1-184",0.00716898230739873,-0.000884153595903067
"GAH2-1-191",0.00642384949616826,-0.000893976463574007
"GAH2-1-206",-0.00435959301298126,-0.00106982925567693
"GAH2-1-217",-0.00306534427443066,-0.000869860399289557
"GAH2-1-220",-0.00129239475487703,-0.00294173531217233
"GAH2-1-226",0.0078383165097947,-0.000747182736615235
"GAH2-1-242",0.00793825375487174,-0.00083558583705448
"GAH2-1-245",0.00393263586566992,-0.000803140756912682
"GAH2-1-38",-0.0179855750783121,-0.000788639480511247
"GAH2-1-46",0.00757622496542188,-0.00111109348186998
"GAH2-1-49",0.00734382524765586,-0.00166032954380242
"GAH2-1-50",0.00558538773853461,-0.000946223791004684
"GAH2-1-52",0.00718212359319743,-0.000581983836326812
"GAH2-1-6",0.00865646434946973,-0.000768763985775845
"GAH2-1-73",0.00367081408757715,-0.000732562528003461
"GAH2-1-83",-0.00653306536266004,-0.000778357353200074
"GAH2-1-86",-0.0449262793527028,0.00126546879826651
"GAH2-1-98",0.00348480491953434,-0.00141660334105019
"GAH2-2-268",0.0079472527661761,-0.000657806488451173
"GAH2-2-282",-0.0960362270140914,-3.1292441399581e-05
"GAH2-2-284",0.0113133649232716,-0.00189686594459477
"GAH2-2-293",0.00660516303454321,-0.00119209907715899
"GAH2-2-299",0.00718212359319743,-0.000581983836326814
"GAH2-2-353",0.00565393512228023,-0.00128152235638563
"GAH2-2-360",0.00789690498291023,-0.000648773395621053
"GAH2-2-376",0.00732876855670184,-0.000596338458525747
"GAH2-2-379",-0.0272422933816631,-0.000610685050422362
"GAH2-2-383",0.00718212359319742,-0.000581983836326816
"GAH2-2-386",0.00727003989856023,-0.000699215992712198
"GAH2-2-398",0.0177946946858275,-0.00628925312198626
"GAH2-2-410",0.0150482900396636,-0.00867164759178818
"GAH2-2-412",0.00376595495131077,-0.000968421961829338
"GAH2-2-433",0.00607030657549297,-0.000923262889531378
"GAH2-2-437",0.00718212359319742,-0.000581983836326812
"GAH2-2-441",0.00749818447523817,-0.000622885364497316
"GAH2-2-458",0.00760645853930568,-0.000645029157980686
"GAH2-2-461",0.00718212359319742,-0.000581983836326812
"GAH2-2-472",0.00677659950026326,-0.000629659053848152
"GAH2-2-487",-0.00822214982704845,-0.000928941136336718
"GAH2-2-494",-0.0523414612061542,-0.00206210667624232
"IAH2-1-148",0.00727312654439281,-0.000590561371246309
"IAH2-1-160",0.00734112203907152,-0.000595402659137793
"IAH2-1-207",0.00718212359319742,-0.00058198383632681
"IAH2-1-230",0.00728729546521455,-0.000597393394663524
"IAH2-1-238",0.00729166804273889,-0.00060255658877736
"IAH2-1-27",-0.00121191501553832,-0.00127134767116043
"IAH2-1-321",0.00764990245077972,-0.000612398540473054
"IAH2-1-345",0.00750983910872379,-0.000609282199512769
"IAH2-1-349",0.0107193529034068,-0.000886224664137393
"IAH2-1-378",0.0085094229867441,-0.000766166012347147
"IAH2-1-379",-0.0610104616162785,-0.000337858741196669
"IAH2-1-424",-0.0788966211691355,2.36267494716175e-05
"IAH2-1-431",0.00718212359319739,-0.000581983836326814
"IAH2-1-44",0.00718212359319739,-0.000581983836326813
"IAH2-1-452",0.00718212359319739,-0.000581983836326814
"IAH2-1-5",0.00773603871152382,-0.000740787823193624
"IAH2-1-85",0.00718212359319739,-0.000581983836326814
"IAH2-2-542",0.00676902373223131,-0.0007618900636619
"IAH2-2-562",0.00718212359319739,-0.000581983836326814
"IAH2-2-570",0.00718212359319739,-0.000581983836326814
"IAH2-2-605",0.00718212359319739,-0.000581983836326814
"IAH2-2-625",-0.0172847256989781,-0.000684520528763559
"IAH2-2-633",-0.0557800490916,-0.00183436303024992
