"category","alpha_diversity","test_var","Value","p","term","Df","Sum Sq","Mean Sq","F value"
"Alpha Diversity","Observed","Environment",0.20566583748746,1.32885741102067e-12,"location",10,17265.199748866,1726.5199748866,9.14800854478703
"Alpha Diversity","Observed","Maize Genotype",0.0337424158080984,0.717985523952856,"Corrected_pedigree",19,2832.60241979484,149.084337883939,0.789927030497155
"Alpha Diversity","Observed","GXE",0.265987002669471,0.0779913561899077,"location:Corrected_pedigree",93,22329.0303717581,240.097100771592,1.27216039280483
"Alpha Diversity","Observed","Residuals",0.494604744034971,NA,"Residuals",220,41520.9925324675,188.731784238489,NA
"Alpha Diversity","Simpson","Environment",0.22398863139385,2.09383048960597e-15,"location",10,0.0344199680578655,0.00344199680578655,11.2014363176121
"Alpha Diversity","Simpson","Maize Genotype",0.0308699040821697,0.69104259477589,"Corrected_pedigree",19,0.00474372786621183,0.000249669887695359,0.812511313997529
"Alpha Diversity","Simpson","GXE",0.307219854434336,0.00147711147667827,"location:Corrected_pedigree",93,0.0472099744999035,0.000507634134407565,1.65201531263858
"Alpha Diversity","Simpson","Residuals",0.437921610089645,NA,"Residuals",219,0.0672947003485664,0.000307281736751445,NA
"Alpha Diversity","Shannon","Environment",0.216737079653092,1.50003572716915e-14,"location",10,15.5886435975432,1.55886435975432,10.5219386168051
"Alpha Diversity","Shannon","Maize Genotype",0.0355183299144123,0.574063298199369,"Corrected_pedigree",19,2.55462787955781,0.134454098924095,0.90753102847263
"Alpha Diversity","Shannon","GXE",0.28633621683913,0.00860019268789357,"location:Corrected_pedigree",93,20.5945066737932,0.221446308320357,1.49470635368949
"Alpha Diversity","Shannon","Residuals",0.461408373593366,NA,"Residuals",224,33.1864335368073,0.148153721146461,NA
