"pathway","term","SS","pval","herit","fdr"
"1CMET2-PWY","Environment",0.00172941451597434,3.66685673147914e-13,0.197958358597936,3.27676558983242e-12
"1CMET2-PWY","Maize Genotype",0.000414374349599547,0.213024866161986,0.0474315818065162,0.285848063220557
"1CMET2-PWY","GXE",0.00245914244735869,0.00991121126185571,0.281487057001701,0.0211305011674081
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","Environment",0.0115913908674112,0.000327965518340887,0.0834839831811574,0.000959899078070888
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","Maize Genotype",0.00778464534105988,0.201681933987118,0.0560668868954691,0.273246491208354
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","GXE",0.0428127873425387,0.025390759629992,0.308347985097427,0.0473960846426517
"ALL-CHORISMATE-PWY","Environment",0.00156750223016195,0.00774236322362824,0.0610047915383112,0.0170250919053605
"ALL-CHORISMATE-PWY","Maize Genotype",0.0023223503318047,0.00883214719911203,0.0903823261903981,0.0191705520600881
"ALL-CHORISMATE-PWY","GXE",0.0074578808606257,0.0630973754453325,0.290249326900815,0.105581265685417
"ANAEROFRUCAT-PWY","Environment",0.000204472926359677,8.00570881619895e-13,0.179654343835031,6.86203612817053e-12
"ANAEROFRUCAT-PWY","Maize Genotype",3.59060338467952e-05,0.575342650258526,0.0315478193876748,0.630924055113788
"ANAEROFRUCAT-PWY","GXE",0.000396375174845995,2.57140218211831e-05,0.348263817695798,8.99990763741409e-05
"ANAGLYCOLYSIS-PWY","Environment",0.000337518343451598,7.48620372079263e-08,0.148705980553151,3.20837302319684e-07
"ANAGLYCOLYSIS-PWY","Maize Genotype",8.65509573893941e-05,0.658866703249658,0.0381331718293693,0.707734054641576
"ANAGLYCOLYSIS-PWY","GXE",0.000537120431125991,0.436475808911348,0.236647939098386,0.509930013192673
"ARG+POLYAMINE-SYN","Environment",0.000231197508931417,4.83308164924185e-14,0.201365117003187,4.66642366133696e-13
"ARG+POLYAMINE-SYN","Maize Genotype",4.87457548610254e-05,0.273525907081228,0.042455884046358,0.350067203085783
"ARG+POLYAMINE-SYN","GXE",0.00035003181743533,0.000991957794079977,0.304865732327643,0.00273194933451535
"ARGORNPROST-PWY","Environment",0.00861767529435558,1.12804059880926e-05,0.115548469101484,4.06675580686602e-05
