"level","taxon","term","SS","pval","herit"
"phylum","d__Archaea;p__Crenarchaeota","Environment",39786.1927602354,3.03513476965439e-08,0.140436358955844
"phylum","d__Archaea;p__Crenarchaeota","Maize Genotype",11175.5506875103,0.576489626458301,0.0394471935864399
"phylum","d__Archaea;p__Crenarchaeota","GXE",86850.021956399,0.0157791251270499,0.306561146282437
"phylum","d__Bacteria;__","Environment",25839.0889276236,0.00619654450574607,0.0748072135687009
"phylum","d__Bacteria;__","Maize Genotype",8092.97679867681,0.98515580856898,0.0234301234645287
"phylum","d__Bacteria;__","GXE",84561.7476867517,0.722252336848894,0.244816244747032
"phylum","d__Bacteria;p__Acidobacteriota","Environment",1771263.7306513,6.9667869524582e-34,0.432682561927139
"phylum","d__Bacteria;p__Acidobacteriota","Maize Genotype",132847.084014735,0.365627147019615,0.032451755016126
"phylum","d__Bacteria;p__Acidobacteriota","GXE",748451.950477841,0.0927430307367469,0.182831106293267
"phylum","d__Bacteria;p__Actinobacteriota","Environment",550749.716620114,2.35250230181468e-07,0.14361472786493
"phylum","d__Bacteria;p__Actinobacteriota","Maize Genotype",170407.965046493,0.582418891175095,0.0444359620852046
"phylum","d__Bacteria;p__Actinobacteriota","GXE",883466.084432735,0.596360555901453,0.230374592060333
"phylum","d__Bacteria;p__Armatimonadota","Environment",31427.6404025637,2.05541680630953e-06,0.130753131880055
"phylum","d__Bacteria;p__Armatimonadota","Maize Genotype",13711.4814571041,0.325563536055185,0.0570459353698538
"phylum","d__Bacteria;p__Armatimonadota","GXE",51718.8413904229,0.781542020980773,0.215173662495322
"phylum","d__Bacteria;p__Bacteroidota","Environment",2905781.59113896,3.85058497700941e-26,0.344975194238217
"phylum","d__Bacteria;p__Bacteroidota","Maize Genotype",458045.160707036,0.0455147551193021,0.0543792481742749
"phylum","d__Bacteria;p__Bacteroidota","GXE",1796610.59930004,0.0474983681380549,0.213294107290781
"phylum","d__Bacteria;p__Bdellovibrionota","Environment",7080.38901212118,0.00276832297876715,0.0783565741745099
"phylum","d__Bacteria;p__Bdellovibrionota","Maize Genotype",4232.4566006513,0.607745591404177,0.0468393472451273
"phylum","d__Bacteria;p__Bdellovibrionota","GXE",22370.1552559914,0.604324687921239,0.247563901730629
"phylum","d__Bacteria;p__Chloroflexi","Environment",2315105.27334083,1.22657903403458e-37,0.444227825231591
"phylum","d__Bacteria;p__Chloroflexi","Maize Genotype",257262.923196365,0.0189548455836411,0.0493642125912165
"phylum","d__Bacteria;p__Chloroflexi","GXE",1000790.86875436,0.0110764022894289,0.192034097221346
"phylum","d__Bacteria;p__Deinococcota","Environment",255815.091637256,1.77697380975224e-19,0.326456572031873
"phylum","d__Bacteria;p__Deinococcota","Maize Genotype",18380.2808760352,0.942097216327854,0.0234558620031765
"phylum","d__Bacteria;p__Deinococcota","GXE",108195.127576064,0.991034803476964,0.138072426583487
"phylum","d__Bacteria;p__Firmicutes","Environment",169815.730848254,3.77463859965719e-05,0.0906737906026194
"phylum","d__Bacteria;p__Firmicutes","Maize Genotype",74497.0891418939,0.535658600335708,0.0397780195486891
"phylum","d__Bacteria;p__Firmicutes","GXE",692851.474249592,0.000279809574203027,0.369950823642848
"phylum","d__Bacteria;p__Myxococcota","Environment",36540.362339265,3.47016542694668e-07,0.117089706952978
"phylum","d__Bacteria;p__Myxococcota","Maize Genotype",20441.8636934203,0.0586264374269492,0.06550377927871
"phylum","d__Bacteria;p__Myxococcota","GXE",104048.771960316,0.00129869641581022,0.333413229582541
"phylum","d__Bacteria;p__Planctomycetota","Environment",669978.374432856,2.69641544789205e-20,0.302499524770907
"phylum","d__Bacteria;p__Planctomycetota","Maize Genotype",131462.982651429,0.0729377432748446,0.0593563781975604
"phylum","d__Bacteria;p__Planctomycetota","GXE",408871.809206403,0.535476632289586,0.18460823915676
"phylum","d__Bacteria;p__Proteobacteria","Environment",6771066.78497985,3.4172384261551e-27,0.365322006261636
"phylum","d__Bacteria;p__Proteobacteria","Maize Genotype",850940.235566869,0.136500178805377,0.0459111103077037
"phylum","d__Bacteria;p__Proteobacteria","GXE",3659862.05733873,0.124057066167963,0.197461964545045
"phylum","d__Bacteria;p__Verrucomicrobiota","Environment",81153.3487467617,6.50131352456461e-08,0.131228002245167
"phylum","d__Bacteria;p__Verrucomicrobiota","Maize Genotype",48036.2829064325,0.020021394709934,0.0776764673108619
"phylum","d__Bacteria;p__Verrucomicrobiota","GXE",181330.609849575,0.0192554553506256,0.293218382776929
"class","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales","Environment",31037.337457997,5.37960673885216e-09,0.143289321263591
"class","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales","Maize Genotype",8315.60930715878,0.54014637391395,0.0383904713195355
"class","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales","GXE",72403.3868208069,0.0012375487465581,0.334262955666821
"class","d__Bacteria;__;__;__","Environment",25839.0889276236,0.00619654450574607,0.0748072135687009
"class","d__Bacteria;__;__;__","Maize Genotype",8092.97679867681,0.98515580856898,0.0234301234645287
"class","d__Bacteria;__;__;__","GXE",84561.7476867517,0.722252336848894,0.244816244747032
"class","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales","Environment",1070080.32592181,8.75715971229174e-33,0.431289460049271
"class","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales","Maize Genotype",67650.4572318894,0.610892103165104,0.0272661112113185
"class","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales","GXE",434843.081644923,0.198930064142832,0.17526089709877
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales","Environment",28566.3849777103,0.103839922713044,0.0487228236236258
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales","Maize Genotype",35358.7293308831,0.403900195282202,0.0603078455355265
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales","GXE",125792.809091577,0.93144547428526,0.214552203762277
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales","Environment",53396.1450616975,4.46284027165805e-07,0.142378741272769
