"level","taxon","term","SS","pval","herit","taxonomy"
"Phylum","435c8c86221e4553c04b2298666b0a56","Environment",41069.0466069215,1.57186939509272e-08,0.145371586105168,"d__Archaea; p__Crenarchaeota;NA;NA;NA;NA;NA;NA"
"Phylum","435c8c86221e4553c04b2298666b0a56","Maize Genotype",11454.2795772439,0.549624148132244,0.0405445689005927,"d__Archaea; p__Crenarchaeota;NA;NA;NA;NA;NA;NA"
"Phylum","435c8c86221e4553c04b2298666b0a56","GXE",84362.3865514658,0.0243548336692646,0.298616475273546,"d__Archaea; p__Crenarchaeota;NA;NA;NA;NA;NA;NA"
"Phylum","c99f42810e2c0436c0d362b36a17da0e","Environment",2958717.69449976,1.9749878148999e-26,0.347822803737379,"d__Bacteria; p__Bacteroidota;NA;NA;NA;NA;NA;NA"
"Phylum","c99f42810e2c0436c0d362b36a17da0e","Maize Genotype",491051.647091413,0.0279840646851513,0.057727359723676,"d__Bacteria; p__Bacteroidota;NA;NA;NA;NA;NA;NA"
"Phylum","c99f42810e2c0436c0d362b36a17da0e","GXE",1777776.92947202,0.0572792023453583,0.20899302328779,"d__Bacteria; p__Bacteroidota;NA;NA;NA;NA;NA;NA"
"Phylum","4bc4cff97301f281c2b1b927b8b70006","Environment",1979522.52294879,1.82294373089869e-32,0.410347913907656,"d__Bacteria; p__Chloroflexi;NA;NA;NA;NA;NA;NA"
"Phylum","4bc4cff97301f281c2b1b927b8b70006","Maize Genotype",225935.469817866,0.0665648178352686,0.0468356119431262,"d__Bacteria; p__Chloroflexi;NA;NA;NA;NA;NA;NA"
"Phylum","4bc4cff97301f281c2b1b927b8b70006","GXE",916686.166213536,0.061892452753409,0.19002575199467,"d__Bacteria; p__Chloroflexi;NA;NA;NA;NA;NA;NA"
"Phylum","7a11ad49b2fa58c14045d6370673dca7","Environment",31951.0652501074,1.59101220870599e-06,0.130863751421059,"d__Bacteria; p__Armatimonadota;NA;NA;NA;NA;NA;NA"
"Phylum","7a11ad49b2fa58c14045d6370673dca7","Maize Genotype",15106.8232259854,0.227652311205475,0.0618738544061717,"d__Bacteria; p__Armatimonadota;NA;NA;NA;NA;NA;NA"
"Phylum","7a11ad49b2fa58c14045d6370673dca7","GXE",53370.2685421655,0.728950869647848,0.218591571238885,"d__Bacteria; p__Armatimonadota;NA;NA;NA;NA;NA;NA"
"Phylum","e187c1063a3049c7a196a619b0d1ae11","Environment",172680.21870926,2.86455253109081e-05,0.0931216859350888,"d__Bacteria; p__Firmicutes;NA;NA;NA;NA;NA;NA"
"Phylum","e187c1063a3049c7a196a619b0d1ae11","Maize Genotype",77100.0391588651,0.492665224607452,0.0415779276039907,"d__Bacteria; p__Firmicutes;NA;NA;NA;NA;NA;NA"
"Phylum","e187c1063a3049c7a196a619b0d1ae11","GXE",671467.927602267,0.000525647669002542,0.362104159567585,"d__Bacteria; p__Firmicutes;NA;NA;NA;NA;NA;NA"
"Phylum","e181d2f09d15a0b2dc7b8f7a49910c41","Environment",540888.760915687,1.77578196637226e-07,0.142054370288939,"d__Bacteria; p__Actinobacteriota;NA;NA;NA;NA;NA;NA"
