"level","taxon","term","SS","pval","herit","taxonomy"
"Phylum","435c8c86221e4553c04b2298666b0a56","Environment",41864.2932296285,1.34678648794022e-08,0.147293518171931,"d__Archaea; p__Crenarchaeota;NA;NA;NA;NA;NA;NA"
"Phylum","435c8c86221e4553c04b2298666b0a56","Maize Genotype",10249.0591000597,0.623251452892026,0.0360598461442897,"d__Archaea; p__Crenarchaeota;NA;NA;NA;NA;NA;NA"
"Phylum","435c8c86221e4553c04b2298666b0a56","GXE",81792.3799437856,0.0339005910896465,0.287774771103722,"d__Archaea; p__Crenarchaeota;NA;NA;NA;NA;NA;NA"
"Phylum","c99f42810e2c0436c0d362b36a17da0e","Environment",2922983.7672708,5.31740825732376e-26,0.338379970514795,"d__Bacteria; p__Bacteroidota;NA;NA;NA;NA;NA;NA"
"Phylum","c99f42810e2c0436c0d362b36a17da0e","Maize Genotype",489769.824925774,0.0225794839190439,0.0566983302381322,"d__Bacteria; p__Bacteroidota;NA;NA;NA;NA;NA;NA"
"Phylum","c99f42810e2c0436c0d362b36a17da0e","GXE",1843930.30824191,0.0329521595081345,0.213463068225254,"d__Bacteria; p__Bacteroidota;NA;NA;NA;NA;NA;NA"
"Phylum","4bc4cff97301f281c2b1b927b8b70006","Environment",2010556.66614066,2.05471695477748e-33,0.413429913261043,"d__Bacteria; p__Chloroflexi;NA;NA;NA;NA;NA;NA"
"Phylum","4bc4cff97301f281c2b1b927b8b70006","Maize Genotype",256400.114958426,0.0167629973543565,0.0527234467312285,"d__Bacteria; p__Chloroflexi;NA;NA;NA;NA;NA;NA"
"Phylum","4bc4cff97301f281c2b1b927b8b70006","GXE",888018.017949277,0.0597424957631307,0.182602767839287,"d__Bacteria; p__Chloroflexi;NA;NA;NA;NA;NA;NA"
"Phylum","7a11ad49b2fa58c14045d6370673dca7","Environment",34424.61312726,6.7505540449988e-07,0.137649071300254,"d__Bacteria; p__Armatimonadota;NA;NA;NA;NA;NA;NA"
"Phylum","7a11ad49b2fa58c14045d6370673dca7","Maize Genotype",13916.4890633229,0.285761719906807,0.0556459934130569,"d__Bacteria; p__Armatimonadota;NA;NA;NA;NA;NA;NA"
"Phylum","7a11ad49b2fa58c14045d6370673dca7","GXE",51350.5654892949,0.803305276838772,0.205328600911627,"d__Bacteria; p__Armatimonadota;NA;NA;NA;NA;NA;NA"
"Phylum","1a279f338006edc91c0370edcf81ba8f","Environment",223876.382273028,5.03454143104085e-06,0.101422919992098,"d__Bacteria; p__Firmicutes;NA;NA;NA;NA;NA;NA"
"Phylum","1a279f338006edc91c0370edcf81ba8f","Maize Genotype",94580.7230124227,0.364021751375454,0.042847990509267,"d__Bacteria; p__Firmicutes;NA;NA;NA;NA;NA;NA"
"Phylum","1a279f338006edc91c0370edcf81ba8f","GXE",789062.170061614,0.000244125691127301,0.35746954873226,"d__Bacteria; p__Firmicutes;NA;NA;NA;NA;NA;NA"
"Phylum","9b4263734f4f7681592cc642965cd353","Environment",561311.34541779,1.69147073867748e-07,0.14498097620566,"d__Bacteria; p__Actinobacteriota;NA;NA;NA;NA;NA;NA"
"Phylum","9b4263734f4f7681592cc642965cd353","Maize Genotype",138485.342512329,0.734263632890111,0.0357693467476033,"d__Bacteria; p__Actinobacteriota;NA;NA;NA;NA;NA;NA"
"Phylum","9b4263734f4f7681592cc642965cd353","GXE",893527.527081448,0.529687046926062,0.230789016114535,"d__Bacteria; p__Actinobacteriota;NA;NA;NA;NA;NA;NA"
"Phylum","4536723d6aabc9847619ea88d7639aa8","Environment",1840409.41503798,4.10849135758094e-35,0.43884663448091,"d__Bacteria; p__Acidobacteriota;NA;NA;NA;NA;NA;NA"
"Phylum","4536723d6aabc9847619ea88d7639aa8","Maize Genotype",140047.915756552,0.253977504861635,0.0333945023284727,"d__Bacteria; p__Acidobacteriota;NA;NA;NA;NA;NA;NA"
"Phylum","4536723d6aabc9847619ea88d7639aa8","GXE",747190.887652259,0.074932617635825,0.178168076995102,"d__Bacteria; p__Acidobacteriota;NA;NA;NA;NA;NA;NA"
