"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","2369/LH123HT",0.696,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B14A/H95",0.824,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B14A/MO17",0.867,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B14A/OH43",0.65,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B37/H95",0.842,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B37/MO17",0.774,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B37/OH43",0.683,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B73/MO17",0.8,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B73/PHM49",0.75,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","CG119/CG108",0.828,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","CG44/CGR01",0.545,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","F42/H95",0.667,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","F42/MO17",0.5,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","F42/OH43",0.805,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","LH74/PHN82",0.824,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","PHG39/PHN82",0.8,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Acidobacteriota"
"Phylum","PHW52/PHN82",0.545,FALSE,"d__Bacteria; p__Acidobacteriota"
"Phylum","2369/LH123HT",0.913,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B14A/H95",0.882,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B14A/MO17",0.933,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B14A/OH43",0.95,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B37/H95",0.965,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B37/MO17",0.968,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B37/OH43",0.902,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B73/MO17",0.933,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B73/PHM49",1,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","CG119/CG108",0.966,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","CG44/CGR01",0.909,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","F42/H95",0.867,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","F42/MO17",0.833,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","F42/OH43",0.927,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","LH74/PHN82",1,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","PHG39/PHN82",0.867,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","PHW52/PHM49",0.941,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","PHW52/PHN82",0.909,TRUE,"d__Bacteria; p__Actinobacteriota"
"Phylum","2369/LH123HT",0.435,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B14A/H95",0.118,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B14A/MO17",0.267,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B14A/OH43",0.35,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B37/H95",0.421,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B37/MO17",0.452,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B37/OH43",0.415,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B73/MO17",0.6,TRUE,"d__Bacteria; p__Armatimonadota"
"Phylum","B73/PHM49",0.25,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","B73/PHN82",0.091,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","CG119/CG108",0.586,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","CG44/CGR01",0.545,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","F42/H95",0.2,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","F42/MO17",0.417,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","F42/OH43",0.415,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","LH74/PHN82",0.412,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","PHG39/PHN82",0.467,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","PHW52/PHM49",0.235,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","PHW52/PHN82",0.364,FALSE,"d__Bacteria; p__Armatimonadota"
"Phylum","2369/LH123HT",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B14A/H95",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B14A/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B14A/OH43",0.9,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B37/H95",0.947,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B37/MO17",0.968,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B37/OH43",0.976,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/PHN82",0.818,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","CG119/CG108",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","CG44/CGR01",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/H95",0.8,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/OH43",0.976,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","LH74/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHW52/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","2369/LH123HT",0.739,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/H95",0.824,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/MO17",0.867,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/OH43",0.65,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/H95",0.772,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/MO17",0.677,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/OH43",0.634,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/MO17",0.8,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","CG119/CG108",0.724,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/H95",0.733,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/MO17",0.667,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/OH43",0.634,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","LH74/PHN82",0.706,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHG39/PHN82",0.667,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHW52/PHN82",0.545,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","2369/LH123HT",0.913,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/H95",0.824,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/OH43",0.85,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/H95",0.772,TRUE,"d__Bacteria; p__Firmicutes"
