"taxon_level","prevalence","is_core","taxon_name"
"Phylum",0.75,TRUE,"d__Bacteria; p__Acidobacteriota"
"Class",0.646,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Order",0.625,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales"
"Phylum",0.936,TRUE,"d__Bacteria; p__Actinobacteriota"
"Class",0.895,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Phylum",0.953,TRUE,"d__Bacteria; p__Bacteroidota"
"Class",0.949,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Order",0.803,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales"
"Family",0.613,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae"
"Order",0.707,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales"
"Order",0.686,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales"
"Family",0.648,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae"
"Phylum",0.707,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum",0.762,TRUE,"d__Bacteria; p__Firmicutes"
"Class",0.717,TRUE,"d__Bacteria; p__Firmicutes; c__Bacilli"
"Phylum",0.707,TRUE,"d__Bacteria; p__Planctomycetota"
"Class",0.639,TRUE,"d__Bacteria; p__Planctomycetota; c__Planctomycetes"
"Phylum",0.998,TRUE,"d__Bacteria; p__Proteobacteria"
"Class",0.988,TRUE,"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"Order",0.902,TRUE,"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Order",0.771,TRUE,"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales"
"Family",0.771,TRUE,"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Genus",0.697,TRUE,"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Class",0.994,TRUE,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria"
"Order",0.939,TRUE,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales"
"Family",0.809,TRUE,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
"Order",0.691,TRUE,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales"
"Order",0.787,TRUE,"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales"
