Feature ID	Domain 	Phylum	Class 	Order 	Family 	Genus	Species	Confidence
baf0c640c59dbf2901b12d2794a93b00	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
7364996b0531f2692c40a6b2b0bd19ee	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
9796260467aae5dfbc8610e2d28d8641	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
1ba72c31397893433fb63cf375bfc8de	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
962a94584093c8a37a0a4348d21adb9c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999997
64a9317625c748691b14bcf75ec07d9a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
21fccc3c7635dd21cc8fb4b641a55627	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
6e8d929b14982c97422b8df3eb047dc3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
02f6c67ea0ebf21dc38fdf8ac017846d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
f5ecd5e1838e0def117d759f7a9cd422	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999999
7471c1ba7de6b272593750fbf3db5320	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
86374db8778d988c3bf755324efaffa8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
3ce272607e6b3ec6bffd60570f1161d2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
e96a8d580d808117362ebb51deed88eb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
c8f86205927ae85beb081dfd07ac8501	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
a743c37423279ddf4301aab1c9d15a24	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
b4c580a20fe721960bb8719b815b9761	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999997
6ad74fdcb37467565c0295749e6cf57c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
3a97aac12ff3f7926433cbd92fbe4f84	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
c41508c4700bf6386fef6b923c209033	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
